OBJECTID,Well registration number,Well classification,Licence number,Licence operator,"Spud date, day/month/year","Water depth, m",Rig datum type,"Datum elevation, m","TD depth MD, m","TD depth TVDSS, m","TD date, day/month/year",Mechanical status,Target 1 age,Target 1 name,Reservoir 1 age,Reservoir 1 name,"Reservoir 1 gross thickness, m TVD",Reservoir 1 rock type,Reservoir 1 fluid type,"Reservoir 1 total flow period, hrs","Reservoir 1 maximum flow, bbls/day","Reservoir 1 maximum flow rate, mmcf/day","Reservoir 1 choke size at maximum flow rate, inch","Reservoir 1 total oil production, tonnes","Reservoir 1 total gas production, m3","Reservoir 1 total condensate production, m3","Reservoir 1 maximum wellhead flowing pressure, bar","Reservoir 1 maximum wellhead temperature, oC","Reservoir 1 average water cute, %",Target 2 age,Target 2 name,Reservoir 2 age,Reservoir 2 name,"Reservoir 2 gross thickness, m",Reservoir 2 rock type,Reservoir 2 fluid type,Target 3 age,Target 3 name,Reservoir 3 age,Reservoir 3 name,"Reservoir 3 gross thickness, m",Reservoir 3 rock type,Reservoir 3 fluid type,Target 4 age,Target 4 name,Reservoir 4 age,Reservoir 4 name,"Reservoir 4 gross thickness, m",Reservoir 4 rock type,Reservoir 4 fluid type,Open data,x,y
624,22/14c- 10Y,Exploration,P2382,ITHACA ZETA LIMITED,8/12/2023 12:00:00 AM,89.6111998637909,Rotary Table,25.9079999606198,4372.66079335356,-2567.70225209709,8/20/2023 12:00:00 AM,Abandoned Phase 1,Palaeocene,Forties Sandstone Member (Sele Fm),Palaeocene,Upper Forties Sandstone Member,,Sandstone,"Gas, Oil, Condensate and Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.67526611100004,57.6387880560001
625,22/14c- 10Z,Exploration,P2382,ITHACA ZETA LIMITED,7/28/2023 12:00:00 AM,89.6111998637909,Rotary Table,25.9079999606198,2105.55839679955,-1628.8786295241,8/2/2023 12:00:00 AM,Abandoned Phase 2,Palaeocene,Forties Sandstone Member (Sele Fm),Palaeocene,Upper Forties Sandstone Member,,Sandstone,"Gas, Oil, Condensate and Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.67526611100004,57.6387880560001
626,3/09a-N59,Exploration,P90,TOTALENERGIES E&P UK LIMITED,1/16/2023 12:00:00 AM,130,Rotary Table,47.6,6815,-3672.8,4/25/2023 12:00:00 AM,Abandoned Phase 1,Middle Jurassic,Brent Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.73769211000007,60.8093906600001
627,3/09a-N59Z,Exploration,P90,TOTALENERGIES E&P UK LIMITED,4/25/2023 12:00:00 AM,130,Rotary Table,47.64,7849,4502,5/17/2023 12:00:00 AM,Completed (Shut In),Middle Jurassic,Brent Group,Middle Jurassic,Brent Group,243.7,Sandstone,Condensate with Oil Shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.73769211000007,60.8093906600001
628,42/15a- 4,Exploration,P1630,ONE-DYAS UK LIMITED,3/24/2023 12:00:00 AM,71.7,Rotary Table,50,2775,2725,4/28/2023 12:00:00 AM,Abandoned Phase 3,Upper Permian,Hauptdolomite Formation (Zechstein Group),Upper Permian,Hauptdolomite Formation (Zechstein Group),140,Dolomite,Gas and Condensate,40,114,26.5,52/64,,181000,4,122.4,,5,Silesian (U. Carboniferous),Whitby Sandstone,Carboniferous,Whitby Sandstone,8,Sandstone,,,,,,,,,,,,,,,,Y,0.80351478800003,54.662170078
629,42/27- 4,Exploration,P2563,DANA PETROLEUM (E&P) LIMITED,7/13/2023 12:00:00 AM,54.2543999175333,Rotary Table,54.8639999166067,3197.65679513956,3143.09759522249,9/11/2023 12:00:00 AM,Abandoned Phase 3,Lower Permian,Top Leman Sandstone,Lower Permian,Top Leman Sandstone,50,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.392522222000025,54.0418861110001
630,42/27- 4Z,Exploration,P2563,DANA PETROLEUM (E&P) LIMITED,10/2/2023 12:00:00 AM,54.2543999175333,Rotary Table,54.55919991707,3614.92799450531,3189.12239515253,10/30/2023 12:00:00 AM,Abandoned Phase 3,Lower Permian,Top Leman Sandstone,Lower Permian,Top Leman Sandstone,36.88,Sandstone,Gas and Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.392522222000025,54.0418861110001
631,47/03f- 16,Exploration,P2433,PETROGAS NORTH SEA LIMITED,9/12/2024 12:00:00 AM,51,Rotary Table,40.6,3475,3416.2,10/22/2024 12:00:00 AM,Abandoned Phase 3,Lower Permian (Rotliege.),Lower Leman Sandstone,Lower Permian(Rotliege.),Leman Sandstone,48,Sandstone,Gas and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.473819444000071,53.9541127780001
632,47/03i- 17,Appraisal,P2582,PETROGAS NORTH SEA LIMITED,11/13/2024 12:00:00 AM,45.9,Rotary Table,40.3,3492,3315.7,12/13/2024 12:00:00 AM,Abandoned Phase 1,Lower Permian(Rotliege.),Lower Leman Sandstone,Lower Permian(Rotliege.),Leman Sandstone,72.5,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.523966667000025,53.9353944440001
633,47/03i- 17Z,Appraisal,P2582,PETROGAS NORTH SEA LIMITED,12/19/2024 12:00:00 AM,45.9,Rotary Table,40.86,4589,3218,1/6/2025 12:00:00 AM,Plugged,Lower Permian(Rotliege.),Lower Leman Sandstone,Lower Permian(Rotliege.),Leman Sandstone,50,Sandstone,Gas,200,,32,56,0,3035160,87,200,57.5,0,,,,,,,,,,,,,,,,,,,,,,Y,0.523966667000025,53.9353944440001
634,48/08b- 3,Exploration,P2437,SHELL U.K. LIMITED,7/28/2024 12:00:00 AM,31.09,Rotary Table,45,2336,2117.5,8/6/2024 12:00:00 AM,Abandoned Phase 3,Lower Permian(Rotliege.),Leman Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.51748333300003,53.7767175000001
635,48/08b- 3Z,Exploration,P2437,SHELL U.K. LIMITED,8/14/2024 12:00:00 AM,31.09,Rotary Table,45,3590,3541,10/17/2024 12:00:00 AM,Abandoned Phase 3,Lower Permian(Rotliege.),Leman Sandstone,Lower Permian(Rotliege.),Leman Sandstone  ,160,Sandstone,Gas and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.51748333300003,53.7767175000001
636,41/05a- 3,Appraisal,P2252,SHELL U.K. LIMITED,11/17/2024 12:00:00 AM,83.109815873673,Rotary Table,44.9884799316175,1958.33999702332,1912.92479709235,1/5/2025 12:00:00 AM,Abandoned Phase 3,Upper Permian (Zechstein),Hauptdolomit ZEZ2C,Upper Permian(Zechstein),HAUPT DOLOMITE (ZEZ2C),59.74,Dolomite,Gas,75,,38.2,64,19,1812224,24,146.31,22,0.1,,,,,,,,,,,,,,,,,,,,,,Y,-0.037473610999939,54.874811944
637,42/14a- 3,Appraisal,P2500,ONE-DYAS UK LIMITED,3/22/2025 12:00:00 AM,71.7,Rotary Table,50,2900,2858,4/26/2025 12:00:00 AM,Completed (Shut In),Upper Permian(Zechstein),Hauptdolomit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.772603089000029,54.6475761830001
